cliente;linha_origem;categoria;material;marca;codigo;pagina_catalogo;acabamento;aplicacao;quantidade;unidade;temperatura_led;distribuicao_led;observacoes;texto_original
A F MOTO (ALVARO FIORETTI);61;adesivo;ADESIVO TRANSPARENTE;;;;;Cor preta;;;;[];Impressão em 12 passos;ADESIVO TRANSPARENTE (COR PRETO 12 PASSOS)
AMAZONIA IMOVEIS;62;tinta;PRATA SIRIUS;;;;;Placa grande e logo;;;;[];;PLACA GRANDE E LOGO - (PRATA SIRIUS)
AMAZONIA IMOVEIS;62;tinta;SOL DOURADO;Coral;;86;;Imobiliária Santa Cecília / CRECI;;;;[];;IMOBILIARIA SANTA CECILIA CRECI (SOL DOURADO CATALOGO CORAL PAG. 86)
AMAZONIA IMOVEIS;62;tinta;VERDE JONH DEERE;;;;;Colunas e parede;;;;[];;COLUNAS E PAREDE - (VERDE JONH DEERE)
AMAZONIA IMOVEIS;62;tinta;BRANCO GEADA;;;;;Amazonias Imóveis / CRECI;;;;[];;AMAZONIAS IMOVEIS CRECI - (BRANCO GEADA)
DELUX;63;tinta;TRUASSARDI BAMBINI;;;;;;;;;[];;TRUASSARDI BAMBINI
DELUX;63;acrilico;ACRILICO PRETO;;;;;Letras e letreiro;;;;[];;LETRAS ACRILICO PRETO E LETREIRO ACRILICO PRETO
R&R MERCADINHO;64;tinta;AZUL PURO;;;184;;;;;;[];;R&R MERCADINHO - PAG 184 / AZUL PURO 184
R&R MERCADINHO;64;tinta;UNIÃO DOS OCEANOS;;;182;;;;;;[];;UNIÃO DOS OCEANOS PAG 182
SOLIVE;65;tinta;AZUL MARINHO;;;187;;;;;;[];;AZUL MARINHO - PAG 187
CLINICA TAVARES;66;tinta;FOGO VIOLETA;;;205;;;;;;[];;FOGO VIOLETA - PAG 205
DUDA RAMOS;67;tinta;BRANCO GEADA;;;;;;;;;[];;BRANCO GEADA
DUDA RAMOS;67;tinta;UNIÃO DOS OCENANOS;Coral;;182;;;;;;[];;UNIÃO DOS OCENANOS - PAG 182 - CORAL
VEREDAS;68;tinta;AZUL MARINHO;;;187;;Letreiro PVC – Centro de Produção, Reservação e Distribuição de Água Veredas;;;;[];;LETREIRO PVC - CENTRO DE PRODUÇÃO, RESERVAÇÃO E DISTRIBUIÇÃO DE ÁGUA VEREDAS / AZUL MARINHO - PAG 187
MORO LASER CLINIC;69;tinta;MARRON AÇAI;;;226;;;;;;[];;MARRON AÇAI - PAG. 226
MORO LASER CLINIC;69;tinta;DOURADO VENUS;;;;;;;;;[];;DOURADO VENUS
CASA DA ESCOVA;70;acm;ACM;;;;;;;;;[];Cor/especificação não informada na planilha.;ACM -
ENERGY CAR;71;tinta;AZUL GP;;;;;;;;;[];;AZUL GP
ENERGY CAR;71;tinta;LARANJA CARLIFORNIA FORD;;;;;;;;;[];;LARANJA CARLIFORNIA FORD
GOIANA EXPRESSO;91;tinta;BRANCO FOSCO;;;;Fosco;GOIANA;;;;[];;GOIANA: BRANCO FOSCO
GOIANA EXPRESSO;92;tinta;BRANCO FOSCO;;;;Fosco;PÃES BOLOS E TORTAS;;;;[];;PÃES BOLOS E TORTAS: BRANCO FOSCO
GOIANA EXPRESSO;93;tinta;BRANCO FOSCO;;;;Fosco;AÇOGUE;;;;[];;AÇOGUE: BRANCO FOSCO
GOIANA EXPRESSO;94;tinta;BRANCO FOSCO;;;;Fosco;CARNE EMBALADAS;;;;[];;CARNE EMBALADAS: BRANCO FOSCO
GOIANA EXPRESSO;95;tinta;BRANCO FOSCO;;;;Fosco;BEBIDAS GELADAS;;;;[];;BEBIDAS GELADAS: BRANCO FOSCO
GOIANA EXPRESSO;96;tinta;AMOR FATAL;;P576;;;CARNES E AVES;;;;[];;CARNES E AVES: AMOR FATAL COD P576
GOIANA EXPRESSO;97;tinta;CASTANHO;;P263;;;MERCEARIA;;;;[];;MERCEARIA: CASTANHO COD P263
GOIANA EXPRESSO;98;tinta;CANARIO;;P039;;;NASCEMOS PARA FAZER DIFERENTE;;;;[];;NASCEMOS PARA FAZER DIFERENTE: CANARIO COD P039
GOIANA EXPRESSO;99;tinta;CANARIO;;P039;;;É SEMPRE MUITO ESPECIAL TER VOCÊ AQUI!;;;;[];;É SEMPRE MUITO ESPECIAL TER VOCÊ AQUI!: CANARIO COD P039
GOIANA EXPRESSO;100;tinta;DOCE DE CAJÁ;;R609;;;EXPRESSO;;;;[];;EXPRESSO: DOCE DE CAJÁ COD R609
